filename,season,designer,colors,silhouette,garments,fabrics,patterns,aesthetic
Valentino-Fall-Winter-2024-Fashion39.webp,fw_2024,Valentino,"black, cream, nude",A-line,"strapless dress, platform heels","pleated silk, crepe",none,"haute couture, elegant minimalism"
Valentino-Fall-Winter-2024-Fashion32.webp,fw_2024,Valentino,"black, brown, nude",A-line flowing gown with voluminous ruffled layers,"long evening gown, ruffled tulle dress, high neckline dress","tulle, lace, sheer fabric",floral lace pattern,"haute couture, gothic elegance, dramatic evening wear"
Valentino-Fall-Winter-2024-Fashion08.webp,fw_2024,Valentino,"black, dark brown",oversized blazer with elongated silhouette,"oversized blazer, wide-leg trousers, structured handbag, strappy heels","wool, leather",none,"minimalist luxury, contemporary tailoring, high fashion elegance"
Valentino-Fall-Winter-2024-Fashion49.webp,fw_2024,Valentino,"black, beige, nude",column dress with dramatic cape overlay,"floor-length dress, sheer embellished cape, long black gloves","tulle, silk, mesh",polka dot embellishments,"haute couture, dramatic elegance, modern haute"
Valentino-Fall-Winter-2024-Fashion28.webp,fw_2024,Valentino,black,"oversized, loose-fitting, draped","zip-up jacket, dress pants, platform heels","wool, patent leather",none,"minimalist, avant-garde, edgy"
Valentino-Fall-Winter-2024-Fashion04.webp,fw_2024,Valentino,black,"minimalist, streamlined, androgynous","sleeveless top, wide-leg trousers, long leather gloves, structured handbag","wool, leather, cotton blend",none,"haute couture, luxury minimalism, avant-garde"
Valentino-Fall-Winter-2024-Fashion53.webp,fw_2024,Valentino,"black, gold, nude",A-line dress with structured blazer,"black wool blazer, sequined mini dress, black ankle strap heels","wool, sequins, lace, patent leather",leopard print sequins with lace details,"haute couture, elegant sophistication, modern luxury"
Valentino-Fall-Winter-2024-Fashion12.webp,fw_2024,Valentino,black,A-line midi dress with elegant drape,"short-sleeve midi dress, chain-strap shoulder bag, ankle-strap heels","wool crepe, leather",none,"minimalist haute couture, timeless elegance, classic Parisian chic"
Valentino-Fall-Winter-2024-Fashion44.webp,fw_2024,Valentino,black,fitted midi dress with long sleeves,"long sleeve dress, handbag, shoes","wool, crepe, patent leather",none,"minimalist luxury, modern elegance, haute couture"
Valentino-Fall-Winter-2024-Fashion52.webp,fw_2024,Valentino,"black, white",A-line shift dress,"sleeveless dress, black handbag, black platform heels","structured fabric, leather",geometric scale or teardrop pattern,"modern minimalist, high fashion couture"
Valentino-Fall-Winter-2024-Fashion05.webp,fw_2024,Valentino,"black, nude, cream","tailored, structured mini dress with dramatic lace sleeves","lace button-up shirt, black mini skirt, knee-high boots, choker, small handbag","lace, silk, leather, wool blend",lace floral detailing,"modern luxury, gothic-inspired elegance, high fashion runway"
Valentino-Fall-Winter-2024-Fashion29.webp,fw_2024,Valentino,black,"fitted, plunging neckline, short length","sequined blazer dress, black ankle boots","sequins, suede",none,"haute couture, glamorous, sophisticated, evening wear"
Valentino-Fall-Winter-2024-Fashion48.webp,fw_2024,Valentino,"black, nude, beige",flowing and ethereal,"sheer overlay dress, layered tulle, halter neckline dress","tulle, organza, sheer mesh",floral embroidery,"haute couture, romantic, avant-garde"
Valentino-Fall-Winter-2024-Fashion09.webp,fw_2024,Valentino,black,"A-line, voluminous skirt with fitted bodice","wool coat, feathered skirt, knee-high boots","wool, feathers, leather",none,"haute couture, elegant, dramatic, modern luxury"
Valentino-Fall-Winter-2024-Fashion25.webp,fw_2024,Valentino,"black, nude, beige","fitted top with voluminous ruched shoulders, knee-length skirt","lace blouse, lace skirt, black boots, structured handbag","lace, leather, knit",floral lace cutouts,"haute couture, elegant, romantic with edgy details"
Valentino-Fall-Winter-2024-Fashion33.webp,fw_2024,Valentino,black,long flowing robe with dramatic train,"sheer button-up shirt, tulle train, black bow tie","silk, tulle, organza",none,"gothic haute couture, dramatic evening wear"
Valentino-Fall-Winter-2024-Fashion64.webp,fw_2024,Valentino,black,flowing and ethereal,"long sheer gown, draped hood, off-shoulder design","chiffon, sheer fabric, lightweight draping",none,"haute couture, gothic elegance, ethereal minimalism"
Valentino-Fall-Winter-2024-Fashion26.webp,fw_2024,Valentino,black,"structured, voluminous A-line","textured blazer, full skirt, ankle boots","tweed, wool, structured cotton",none,"haute couture, elegant minimalism, tailored luxury"
Valentino-Fall-Winter-2024-Fashion30.webp,fw_2024,Valentino,"black, dark gray","oversized, long and flowing","textured coat, patterned dress, black boots, black tote bag","quilted material, jacquard, leather",geometric jacquard pattern,"high fashion, minimalist luxury, editorial sophistication"
Valentino-Fall-Winter-2024-Fashion10.webp,fw_2024,Valentino,"black, skin tone",fitted mini dress with cutout details,"lace mini dress, black ankle boots, chain shoulder bag","lace, patent leather",intricate floral lace cutouts,"elegant minimalist luxury, haute couture"
Valentino-Fall-Winter-2024-Fashion47.webp,fw_2024,Valentino,"black, gold, nude",oversized blazer with high slit skirt,"double-breasted blazer, asymmetrical slit skirt, black clutch, black ankle boots","wool, silk, leather",none,"minimalist luxury, power dressing, modern elegance"
Valentino-Fall-Winter-2024-Fashion51.webp,fw_2024,Valentino,"black, gold",wrap dress with flowing skirt,"wrap blouse, lace skirt, ankle strap heels","silk, lace, chiffon",none,"elegant, sophisticated, haute couture"
Valentino-Fall-Winter-2024-Fashion06.webp,fw_2024,Valentino,black,"fitted, mini dress with structured ruffle collar","long-sleeve mini dress, ruffle collar, chain shoulder bag, black shoes","wool, crepe, metal chain",none,"high fashion, minimalist elegance, modern luxury"
Valentino-Fall-Winter-2024-Fashion07.webp,fw_2024,Valentino,"black, dark brown",fitted top with tiered ruffled skirt,"turtleneck long sleeve top, tiered ruffle maxi skirt, sequined belt","mesh, chiffon, sequin",none,"high fashion, elegant, dramatic, contemporary couture"
Valentino-Fall-Winter-2024-Fashion50.webp,fw_2024,Valentino,"black, charcoal","oversized, elongated, dramatic","double-breasted blazer, long coat, ankle pants, studded handbag","wool, silk, leather",none,"high fashion, gothic elegance, minimalist luxury, contemporary tailoring"
Valentino-Fall-Winter-2024-Fashion46.webp,fw_2024,Valentino,"black, gold",A-line midi dress with full skirt,"long-sleeve dress, structured handbag, sunglasses, patent leather boots","wool crepe, patent leather, chain",none,"classic elegance, minimalist luxury, high fashion couture"
Valentino-Fall-Winter-2024-Fashion11.webp,fw_2024,Valentino,"black, silver",fitted top with voluminous fringe skirt,"turtleneck sweater, fringe skirt, knee-high boots, structured shoulder bag","ribbed knit, fringe, leather",none,"modern luxury, elegant minimalism with dramatic movement"
Valentino-Fall-Winter-2024-Fashion31.webp,fw_2024,Valentino,black,long flowing column with deep V-neckline and high slit,"sleeveless vest dress, long flowing gown","velvet, crepe",none,"minimalist luxury, modern elegance, haute couture"
Valentino-Fall-Winter-2024-Fashion27.webp,fw_2024,Valentino,"black, brown, gold",fitted and structured,"turtleneck top, shorts, leather gloves, structured bag","wool, leather, knit",none,"minimalist luxury, modern elegance"
Valentino-Fall-Winter-2024-Fashion16.webp,fw_2024,Valentino,"black, nude, ivory",sleek and elongated with strategic cutouts,"sleeveless gown, cutout dress","pleated silk, sheer chiffon",none,"haute couture, minimalist elegance, modern sophistication"
Valentino-Fall-Winter-2024-Fashion41.webp,fw_2024,Valentino,black,"A-line, flared","crew neck dress, platform heeled shoes, hoop earrings, beaded clutch","crepe, wool blend",none,"minimalist elegance, modern haute couture"
Valentino-Fall-Winter-2024-Fashion57.webp,fw_2024,Valentino,"black, charcoal","oversized, textured, dramatic A-line","textured jacket, feathered skirt, black boots, black handbag","wool, feathers, leather, tulle",none,"haute couture, avant-garde, luxury minimalism"
Valentino-Fall-Winter-2024-Fashion20.webp,fw_2024,Valentino,black,"structured, oversized blazer with defined shoulders","oversized black blazer, sheer patterned skirt, black handbag, black ankle boots","wool, tulle, patent leather",geometric mesh pattern on skirt,"high fashion, modern luxury, minimalist with textural contrast"
Valentino-Fall-Winter-2024-Fashion36.webp,fw_2024,Valentino,black,oversized structured jacket with midi skirt,"oversized blazer jacket, midi skirt, ankle strap heels, small shoulder bag","wool blend, leather",none,"minimalist chic, high fashion, contemporary elegance"
Valentino-Fall-Winter-2024-Fashion61.webp,fw_2024,Valentino,"black, silver, grey",relaxed oversized,"zip-up hoodie, sequin midi skirt, pointed-toe boots, chain shoulder bag","cotton blend, sequined mesh, patent leather",sequins,"modern edge, high fashion casual"
Valentino-Fall-Winter-2024-Fashion60.webp,fw_2024,Valentino,black,"long, flowing, oversized coat with high slit","long black coat, black tie-neck blouse, black pants, black patent leather boots","wool, silk, patent leather",none,"minimalist luxury, high fashion, sophisticated elegance"
Valentino-Fall-Winter-2024-Fashion37.webp,fw_2024,Valentino,"black, silver",high-necked fitted top with voluminous feathered skirt,"turtleneck blouse, feathered midi skirt, belt, patent leather boots","wool, feathers, patent leather, metal",none,"haute couture, modern elegance, avant-garde"
Valentino-Fall-Winter-2024-Fashion21.webp,fw_2024,Valentino,"black, gold",structured oversized jacket with full A-line skirt,"quilted jacket, full midi skirt, sunglasses","crinkled vinyl, pleated patent leather",none,avant-garde futuristic glamour
Valentino-Fall-Winter-2024-Fashion01.webp,fw_2024,Valentino,"black, gold","tailored, structured, mini dress","blazer dress, chain belt, clutch bag, platform shoes","wool, patent leather, chain metal",none,"modern luxury, high fashion, minimalist elegance"
Valentino-Fall-Winter-2024-Fashion56.webp,fw_2024,Valentino,"black, silver","oversized, relaxed with dramatic fringe details","fringed jacket, black shorts, black tights, black platform boots","sequined material, cotton blend, sheer hosiery",none,"high fashion, avant-garde, modern luxury"
Valentino-Fall-Winter-2024-Fashion40.webp,fw_2024,Valentino,black,"asymmetrical, draped, minimalist","sleeveless top, high-slit skirt, draped fabric panel, ankle boots","crepe, jersey, knit",none,"modern minimalism, haute couture, contemporary elegance"
Valentino-Fall-Winter-2024-Fashion17.webp,fw_2024,Valentino,"black, white","tailored, fitted, modern","black blazer, black trousers, white sneakers","wool, cotton canvas",none,"contemporary minimalist, avant-garde, high fashion"
Valentino-Spring-Summer-2025-Fashion39.jpg,ss_2025,Valentino,"red, blue, white, gold, yellow",avant-garde eclectic,"embroidered jacket, pleated skirt, fur stole, beanie, sunglasses, fishnet stockings, platform boots","wool, fur, silk, cotton, taffeta",floral embroidery and ornamental details,maximalist punk-glam fusion
Valentino-Spring-Summer-2025-Fashion15.jpg,ss_2025,Valentino,"red, black, gold, cream",cropped peplum top with flowing wide-leg trousers,"red satin blouse, black wide-leg trousers, black structured collar, black beret, gold chain necklace with pendant, black beaded clutch","satin, pleated fabric, chiffon, wool, metal chain",none,"haute couture, avant-garde, architectural elegance with vintage-inspired tailoring"
Valentino-Spring-Summer-2025-Fashion03.jpg,ss_2025,Valentino,"black, white, navy","tailored, elongated, androgynous","polka dot blazer, white dress shirt, black trousers, bow tie, headwrap, gloves","wool blend, cotton, silk",polka dot,"avant-garde formal, gender-neutral couture, theatrical elegance"
Valentino-Spring-Summer-2025-Fashion59.jpg,ss_2025,Valentino,"brown, gold, black",relaxed oversized coat dress,"patterned coat dress, studded headband, sunglasses, chain necklace, black fringe bag, fishnet stockings, black platform boots","jacquard, cotton blend, metal studs, leather",geometric jacquard,edgy luxe 90s maximalism
Valentino-Spring-Summer-2025-Fashion66.jpg,ss_2025,Valentino,"black, cream, gold, red",A-line with fitted top,"sequined jacket, pleated skirt, lace tights, chain shoulder bag","sequin, cotton blend, lace, metallic chain","polka dot on skirt, floral lace on tights",luxury ready-to-wear with haute couture elements
Valentino-Spring-Summer-2025-Fashion48.jpg,ss_2025,Valentino,"black, purple, pink, blue, gold",maxi dress with A-line flowing skirt,"floral maxi dress, black fur stole, black wide-brimmed hat with feather detail, white collared shirt","silk, fur, cotton, velvet",floral print with multicolored flowers on dark background,"haute couture, editorial, gothic romantic, maximalist"
Valentino-Spring-Summer-2025-Fashion51.jpg,ss_2025,Valentino,"emerald green, silver, black, gold",long flowing coat dress with relaxed oversized fit,"embellished coat dress, black beanie, black boots, chain necklace","silk or silk-like material, embroidered fabric, fur trim",ornate floral and butterfly embroidery with scattered metallic studs,luxury gothic glamour with haute couture embroidery
Valentino-Spring-Summer-2025-Fashion45.jpg,ss_2025,Valentino,"black, gold, burgundy, cream, yellow",A-line midi dress with structured jacket overlay,"ornate jacquard jacket, midi dress, beaded necklace, black shoulder bag, patterned tights, platform shoes","jacquard, cotton, lace, beaded textile, fishnet","ornate floral jacquard, geometric embroidery, patterned tights",Maximalist vintage-inspired with Eastern European folk elements and contemporary high fashion
Valentino-Spring-Summer-2025-Fashion79.jpg,ss_2025,Valentino,"mustard yellow, gold, cream, ivory",flowing A-line maxi gown with voluminous sleeves and cape,"long sleeved gown, lace collar, lace waist belt, cape","textured wool or cotton blend, lace, pleated fabric",small dot or textured pattern on base fabric,"medieval romantic, historical inspired, ethereal and regal"
Valentino-Spring-Summer-2025-Fashion57.jpg,ss_2025,Valentino,"dusty rose, mauve, gold, cream",A-line empire waist with flowing sleeves,"embellished gown, ruffled bell sleeves, statement bow at waist, tulle train","silk chiffon, tulle, beaded mesh",ornate beading and embroidery,"romantic haute couture, modern fairytale, high fashion editorial"
Valentino-Spring-Summer-2025-Fashion40.jpg,ss_2025,Valentino,"navy blue, cream, burgundy, brown",tailored oversized blazer with cropped trousers,"double-breasted blazer, cream trousers, burgundy tie, brown knit beanie, dark sunglasses, platform loafers","wool blend, cotton, silk, knit",polka dot tie,"contemporary menswear, high fashion, androgynous streetwear"
Valentino-Spring-Summer-2025-Fashion32.jpg,ss_2025,Valentino,"pale yellow, cream, ivory",flowing A-line with layered cape overlay,"cape, long dress, cap, glasses","chiffon, lace, silk",lace floral embroidery,"ethereal romantic, vintage-inspired, avant-garde"
Valentino-Spring-Summer-2025-Fashion19.jpg,ss_2025,Valentino,"black, gold, cream, navy blue",oversized tunic jacket with fitted legs,"embroidered tunic jacket, black distressed jeans, polka dot boots, wide-brimmed hat, chain tassel bag","velvet, denim, leather, mesh","floral embroidery, polka dots","high fashion, bohemian maximalism, avant-garde"
Valentino-Spring-Summer-2025-Fashion37.jpg,ss_2025,Valentino,"black, purple, red, silver",A-line flowing silhouette with voluminous skirt,"wide-brimmed hat with feather, long black coat/tunic, purple bubble skirt, embroidered shirt front, chain necklace, ankle boots, chain bag","wool, silk, cotton embroidered textile, metallic chain",geometric embroidery on shirt front,"contemporary avant-garde with indigenous-inspired elements, theatrical and editorial"
Valentino-Spring-Summer-2025-Fashion31.webp,ss_2025,Valentino,"cream, ivory, burgundy, black",flowing empire waist,"draped robe, slip dress, waist belt, hair bow","lace, silk chiffon, fur stole",none,"romantic gothic, high fashion couture"
Valentino-Spring-Summer-2025-Fashion27.webp,ss_2025,Valentino,"black, gold, white, olive green",long flowing coat over slim trousers,"long embroidered vest, white dress shirt, black bow tie, black distressed trousers, suede tote bag","wool, silk, suede, cotton",gold leaf embroidery on black vest,androgynous haute couture with vintage-inspired botanical motifs
Valentino-Spring-Summer-2025-Fashion70.webp,ss_2025,Valentino,"gray, blue, white, burgundy",oversized blazer with fitted jeans,"plaid blazer, patterned dress shirt, bow tie, blue jeans, loafers, shoulder bag","wool blend, cotton, denim, leather","plaid, diamond pattern on shirt","androgynous luxury, modern tailoring with casual denim"
Valentino-Spring-Summer-2025-Fashion07.webp,ss_2025,Valentino,"burgundy, gold, black, cream","A-line midi dress with relaxed, flowing drape","paisley patterned dress, feathered clutch, choker necklace, round sunglasses","silk, damask brocade, feather trim, lace",ornate paisley damask,bohemian luxe with vintage-inspired elements and eclectic maximalism
Valentino-Spring-Summer-2025-Fashion50.webp,ss_2025,Valentino,"crimson red, white, black","tailored, elongated, sharp","double-breasted blazer, dress shirt, black trousers, bow tie, dress shoes","velvet, cotton, wool blend",none,"formal evening wear, haute couture, classic tuxedo with modern twist"
Valentino-Spring-Summer-2025-Fashion46.webp,ss_2025,Valentino,"cream, gold, red, black","cropped top with mini skirt, fitted silhouette","cropped jacket with ornate embroidery, mini skirt with fringe trim, red lace tights, black boots with bow detail, black chain bag, black beret with netting","silk, lace, velvet, fringe trim","ornate baroque embroidery, paisley motifs","high fashion, avant-garde, modern baroque, editorial"
Valentino-Spring-Summer-2025-Fashion11.webp,ss_2025,Valentino,"cream, ivory, pale yellow",A-line dress with fitted bodice,"long-sleeved dress, fur cuffs, lace tights, round sunglasses, chain shoulder bag","wool, fur, lace, leather",lace geometric pattern on tights,"vintage 1960s mod, luxury minimalism"
Valentino-Spring-Summer-2025-Fashion85.webp,ss_2025,Valentino,"beige, navy blue, gold, red",oversized double-breasted blazer with straight-leg trousers,"double-breasted blazer, straight-leg trousers, dress shirt, necktie, structured handbag","wool blend, cotton, silk, leather",polka dot on necktie,"contemporary luxury, maximalist styling, high fashion editorial"
Valentino-Spring-Summer-2025-Fashion84.webp,ss_2025,Valentino,"black, gold, white",straight column dress,"polka dot dress, tulle sleeves, beret hat, pearl earrings, netted veil","crepe or wool, tulle, netting",polka dots,"haute couture, avant-garde, 1960s inspired"
Valentino-Spring-Summer-2025-Fashion10.webp,ss_2025,Valentino,"black, red, ivory",A-line with layered ruffle hem,"long sleeve dress, ruffled collar, lace tights, studded boots","wool, tulle, lace, leather",lace,"gothic romantic, avant-garde"
Valentino-Spring-Summer-2025-Fashion47.webp,ss_2025,Valentino,"cream, taupe, black, gold",relaxed oversized,"fur stole, zip-up dress, lace tights, black platform shoes, bow hair clip, round sunglasses","fur, silk, lace, leather",lace,luxury maximalist with vintage-inspired glamour
Valentino-Spring-Summer-2025-Fashion06.webp,ss_2025,Valentino,"cream, red, beige, black, white",fitted and minimal,"bra top, cardigan, shorts, lace tights, sandals","silk, lace, fur, leather",polka dot,avant-garde luxury
Valentino-Spring-Summer-2025-Fashion71.webp,ss_2025,Valentino,"sage green, pale green, black, silver, cream",flowing and ethereal with a dramatic cape,"sequined gown, black fur stole, black fascinator hat with netting, floor-length dress","tulle, sequined chiffon, fur, mesh netting",all-over sequins,"haute couture, theatrical glamour, avant-garde elegance"
Valentino-Spring-Summer-2025-Fashion26.webp,ss_2025,Valentino,"navy blue, cream white, gold, black",tailored androgynous with structured waistcoat,"long-sleeve white blouse, navy double-breasted waistcoat, navy trousers, gold ruffle collar detail, brown leather shoes, gold/tan shoulder bag","cotton blend, wool suiting, silk-like material for ruffle",none,avant-garde Victorian steampunk with contemporary tailoring
Valentino-Spring-Summer-2025-Fashion30.webp,ss_2025,Valentino,"blush pink, cream, white, gold",A-line mini dress with flowing layers,"pleated mini dress, fur stole, wide-brimmed hat, platform shoes, chain accessory, mesh tights","silk chiffon, fur, linen, mesh",none,"haute couture, romantic vintage-inspired, luxury fashion"
Valentino-Spring-Summer-2025-Fashion67.webp,ss_2025,Valentino,"gold, navy, burgundy, black","tailored, androgynous, structured","patterned blazer, wrapped skirt, dark trousers, structured jacket, handbag","jacquard, wool blend, silk",damask floral jacquard,"luxury menswear-inspired, contemporary haute couture, gender-fluid fashion"
Valentino-Spring-Summer-2025-Fashion01.webp,ss_2025,Valentino,"black, cream, red",fitted midi dress with ruched hem,"long-sleeve dress, bow tie details, knee-high socks","velvet, knit, lace",none,"gothic elegant, modern sophistication with whimsical details"
Valentino-Spring-Summer-2025-Fashion56.webp,ss_2025,Valentino,"cream, beige, ivory, white",A-line midi dress with tiered layers,"tiered fringe dress, lace collar, knit beanie, fur stole, canvas sneakers","pleated silk, lace, faux fur, knit","lace detailing, beaded embellishments",high fashion avant-garde with romantic and bohemian influences
Valentino-Spring-Summer-2025-Fashion17.webp,ss_2025,Valentino,"mauve pink, gold, cream, black",fitted and structured,"lace blouse, sequined skirt, fur stole, clutch bag","lace, sequins, fur, leather",floral embroidery with sequins,luxe vintage-inspired glamour
Valentino-Spring-Summer-2025-Fashion83.webp,ss_2025,Valentino,"black, red, burgundy",fitted and tailored with flared pants,"long-sleeve top, ruffled collar, cinched waist belt, flared pants, lace gloves","wool, lace, cotton blend","lace on gloves, solid with textured ruffles","gothic romantic, avant-garde haute couture"
Valentino-Spring-Summer-2025-Fashion60.webp,ss_2025,Valentino,"cream, beige, black, pale blue",long flowing gown with fitted bodice and tiered skirt,"embroidered gown, long sleeve shirt, knit beanie, black bow belt","silk chiffon, embroidered tulle, knit, organza",floral embroidery with scattered beads,romantic Victorian-inspired couture with whimsical bohemian elements
Valentino-Spring-Summer-2025-Fashion21.webp,ss_2025,Valentino,"black, white, denim blue, tan",fitted top with relaxed straight-leg jeans,"corset bustier top, denim jeans, baseball cap, pearl necklace, chain strap bag, platform shoes","cotton denim, structured cotton, pearl, metal chain",spotted/dotted print on bustier,"90s inspired, edgy glam, Y2K fusion"
Valentino-Spring-Summer-2025-Fashion76.webp,ss_2025,Valentino,"navy blue, cream, gold, tan, black","tailored, structured, masculine","navy blazer, cream dress shirt, tan trousers, black loafers, gloves with pattern, black handbag, gold brooch","wool, cotton, silk, patent leather, embellished material","ornate embellished gloves, floral backdrop","preppy luxury, vintage-inspired, upscale academic"
Valentino-Spring-Summer-2025-Fashion77.webp,ss_2025,Valentino,"black, red, gold",fitted bodycon midi dress,"long-sleeve midi dress, wide-brimmed hat, lace stockings","wool, velvet, lace",lace,"haute couture, gothic glamour, sophisticated elegance"
Valentino-Spring-Summer-2025-Fashion20.webp,ss_2025,Valentino,"black, purple, yellow, green",A-line midi dress with fitted bodice,"floral dress, black fur stole, headwrap, patterned tights","cotton or linen, fur, silk or satin",floral print,vintage-inspired bohemian with luxury elements
Valentino-Spring-Summer-2025-Fashion36.webp,ss_2025,Valentino,"tan, brown, blue, cream","tailored, relaxed fit","patterned cardigan, collared shirt, dress pants, loafers","knit, cotton, wool blend",ornamental damask jacquard,"luxury menswear, contemporary sophisticated"
Valentino-Spring-Summer-2025-Fashion61.webp,ss_2025,Valentino,"pale blue, lavender, white, blush pink, gold",fitted bodice with tiered skirt,"tiered dress, sheer cape, fur stole, lace tights, structured collar","silk organza, tulle, lace, white fur, chiffon",floral embroidery,"gothic romance, haute couture, fairy tale inspired"
Valentino-Spring-Summer-2025-Fashion82.webp,ss_2025,Valentino,"navy blue, teal, burgundy, gold, black","A-line, knee-length tunic","long-sleeve patterned tunic, black leggings, gold clutch, sunglasses, black gloves","cotton blend, knit",geometric diamond and floral damask,contemporary minimalist with traditional ethnic influences
Valentino-Spring-Summer-2025-Fashion16.webp,ss_2025,Valentino,"black, cream, red",fitted top with tiered skirt,"blazer, bow-detailed vest, tiered ruffle skirt, round sunglasses, lace tights, heeled shoes, chain shoulder bag","wool, cotton, lace, silk",lace on tights,vintage-inspired mod with contemporary edge
Valentino-Spring-Summer-2025-Fashion41.webp,ss_2025,Valentino,"black, white, burgundy",androgynous tailored,"blazer, dress shirt, wide-leg trousers, beanie, glasses","wool, cotton, twill",none,gender-neutral haute couture
Valentino-Spring-Summer-2025-Fashion78.webp,ss_2025,Valentino,"black, pink, white, cream",flowing and elegant with volume from the coat,"fur coat, pleated skirt, corset top, small shoulder bag","fur, tulle, silk, leather",plaid/checkered on skirt,"high fashion, luxury, gothic romance, modern elegance"
Valentino-Spring-Summer-2025-Fashion81.webp,ss_2025,Valentino,"cream, tan, navy blue, black, gold","relaxed, voluminous with tapered ankles","wide-brimmed hat, patterned jacket, yellow crop top, balloon pants, black lace socks, brown loafers","straw, brocade, cotton blend denim, lace",paisley and floral print on jacket,eclectic bohemian cowboy with vintage and ethnic influences
Valentino-Spring-Summer-2025-Fashion42.webp,ss_2025,Valentino,"black, gold, orange, cream","structured, dramatic, haute couture with voluminous collar and fitted waist","wide-brimmed hat with feather detail, structured collar cape, double-breasted jacket, pleated peplum waist, flowing midi skirt, chain shoulder bag, gloves","wool, silk, organza, metal studs, feathers",stud embellishment,"high fashion, editorial, avant-garde, theatrical, luxury couture"
Valentino-Spring-Summer-2025-Fashion54.webp,ss_2025,Valentino,"black, white, magenta, gold","tailored, structured, elongated","polka dot blazer, corset top, wide-leg trousers, magenta bow tie","wool, cotton, silk, satin",polka dot,"high fashion, avant-garde, editorial, modern sophistication"
Valentino-Spring-Summer-2025-Fashion74.webp,ss_2025,Valentino,"cream, navy blue, gold, red, black",A-line dress with fitted bodice,"long-sleeve blouse, sleeveless dress, black bow tie, black gloves, black fur trim","silk, lace, fur, crepe",lace,"vintage-inspired, 1950s feminine elegance with contemporary fashion-forward styling"
Valentino-Spring-Summer-2025-Fashion23.webp,ss_2025,Valentino,"purple, black, white, silver",strapless drop-waist with asymmetrical ruffled skirt,"strapless dress, fishnet tights, black gloves, black bow shoes, chain choker necklace","textured knit, fishnet, leather or satin",small repeating dot or texture pattern,high fashion avant-garde with gothic and romantic elements
Valentino-Spring-Summer-2025-Fashion35.webp,ss_2025,Valentino,"black, red, nude, white",minimal and form-fitting,"sheer tulle top, black high-waisted briefs, tulle overlay, platform heels","tulle, mesh, suede",none,"avant-garde, editorial, high fashion"
Valentino-Spring-Summer-2025-Fashion62.webp,ss_2025,Valentino,"cream, beige, blush pink, black",relaxed oversized with fitted elements,"fur coat, ruched dress, fishnet tights, loafers, sunglasses, chain necklace, structured handbag","fur, silk, tulle, leather, metal chain",none,luxury minimalist with romantic details
Valentino-Spring-Summer-2025-Fashion58.webp,ss_2025,Valentino,"red, black, cream, tan",oversized blazer with tailored trousers,"red blazer, black lapel vest, cream dress shirt, tan trousers, bow tie, lace gloves","wool, cotton, lace",none,"androgynous formal wear, modern tailoring, gender-neutral luxury"
Valentino-Spring-Summer-2025-Fashion18.webp,ss_2025,Valentino,"taupe, cream, burgundy, gold",A-line flowing gown with dramatic train,"long lace gown, sheer overlay, ruffled sleeves, bow belt","lace, tulle, silk chiffon, linen",floral lace,romantic gothic elegance with vintage-inspired couture
Valentino-Spring-Summer-2025-Fashion63.webp,ss_2025,Valentino,"camel, navy blue, light blue, white",oversized double-breasted blazer with relaxed trousers,"double-breasted blazer, dress trousers, dress shirt, patterned tie, pearl necklace, beanie, shoulder bag, white sneakers","wool, cotton, knit",diamond check on tie,"contemporary menswear with eclectic styling, mixing tailored and casual elements"
Valentino-Spring-Summer-2025-Fashion34.webp,ss_2025,Valentino,"black, cream, gold, white","relaxed, flowing A-line","fur coat, lace dress, shoulder bag, mary jane shoes","fur, lace, silk, leather",none,"luxury vintage, gothic romance, high fashion"
Valentino-Spring-Summer-2025-Fashion22.webp,ss_2025,Valentino,"gold, black, burgundy, cream, pink","relaxed, oversized, bohemian","oversized gold jacket, patterned pants, decorative shoulder bag, round sunglasses, wide-brimmed straw hat with feather, embellished boots","metallic jacquard, patterned cotton blend, straw, leather, suede fringe","geometric, paisley, mixed patchwork","eclectic bohemian, maximalist, avant-garde streetwear"
Valentino-Spring-Summer-2025-Fashion75.webp,ss_2025,Valentino,"black, red, white",elongated and dramatic,"wide-brimmed hat, long coat, textured dress, leg warmers or socks","fur, lace, knit, textured wool",polka dots,avant-garde haute couture
Valentino-Spring-Summer-2025-Fashion02.webp,ss_2025,Valentino,"black, pink, skin tone",column gown with voluminous ruffled skirt,"strapless gown, headwrap, netting veil, black tie","beaded fabric, tulle, silk",beaded polka dot,"haute couture, gothic glamour, avant-garde"
Valentino-Spring-Summer-2025-Fashion55.webp,ss_2025,Valentino,"black, silver, white",floor-length column with tiered ruffles,"embellished gown, wide-brimmed hat, long evening dress","tulle, sequined mesh, beaded fabric",all-over sequins and beading,"haute couture, avant-garde, dramatic elegance"
Valentino-Spring-Summer-2025-Fashion43.webp,ss_2025,Valentino,"red, black, cream, white",flowing and dramatic with volume,"cape, long skirt, wide-brimmed hat, gloves, boots","wool, silk, lace, felt",none,"gothic romantic, vintage-inspired, theatrical elegance"
Valentino-Spring-Summer-2025-Fashion14.webp,ss_2025,Valentino,"royal blue, cobalt blue, metallic silver","strapless sweetheart neckline with tiered ruffle skirt, fitted bodice with flowing floor-length skirt","strapless evening gown, tiered ruffle gown","pleated fabric, tulle, structured textile",dotted/textured pattern on skirt sections,"haute couture, glamorous evening wear, contemporary designer fashion"
